 Time,,, HR, BR
3/28/2019,4:04:35,PM,79,18
3/28/2019,4:04:36,PM,79,18
3/28/2019,4:04:37,PM,78,18
3/28/2019,4:04:38,PM,79,18
3/28/2019,4:04:39,PM,78,18
3/28/2019,4:04:40,PM,77,18
3/28/2019,4:04:41,PM,78,18
3/28/2019,4:04:42,PM,80,18
3/28/2019,4:04:43,PM,78,18
3/28/2019,4:04:44,PM,78,18
3/28/2019,4:04:45,PM,80,18
3/28/2019,4:04:46,PM,79,18
3/28/2019,4:04:47,PM,78,18
3/28/2019,4:04:48,PM,79,18
3/28/2019,4:04:49,PM,78,18
3/28/2019,4:04:50,PM,77,18
3/28/2019,4:04:51,PM,78,18
3/28/2019,4:04:52,PM,79,18
3/28/2019,4:04:53,PM,78,18
3/28/2019,4:04:54,PM,78,18
3/28/2019,4:04:55,PM,77,18
3/28/2019,4:04:56,PM,76,18
3/28/2019,4:04:57,PM,76,18
3/28/2019,4:04:58,PM,79,18
3/28/2019,4:04:59,PM,81,18
3/28/2019,4:05:00,PM,81,18
3/28/2019,4:05:01,PM,81,18
3/28/2019,4:05:02,PM,80,18
3/28/2019,4:05:03,PM,74,18
3/28/2019,4:05:04,PM,72,18
3/28/2019,4:05:05,PM,71,18
3/28/2019,4:05:07,PM,72,18
3/28/2019,4:05:09,PM,77,18
3/28/2019,4:05:10,PM,77,18
3/28/2019,4:05:11,PM,82,18
3/28/2019,4:05:12,PM,83,18
3/28/2019,4:05:13,PM,83,18
3/28/2019,4:05:14,PM,84,18
3/28/2019,4:05:15,PM,83,18
3/28/2019,4:05:16,PM,78,18
3/28/2019,4:05:17,PM,78,18
3/28/2019,4:05:18,PM,77,18
3/28/2019,4:05:19,PM,75,18
3/28/2019,4:05:20,PM,77,18
3/28/2019,4:05:21,PM,78,18
3/28/2019,4:05:22,PM,78,18
3/28/2019,4:05:23,PM,81,18
3/28/2019,4:05:24,PM,80,18
3/28/2019,4:05:25,PM,78,18
3/28/2019,4:05:26,PM,80,19
3/28/2019,4:05:27,PM,80,19
3/28/2019,4:05:28,PM,78,19
3/28/2019,4:05:29,PM,79,19
3/28/2019,4:05:30,PM,79,19
3/28/2019,4:05:31,PM,77,19
3/28/2019,4:05:32,PM,75,19
3/28/2019,4:05:33,PM,77,19
3/28/2019,4:05:34,PM,76,19
3/28/2019,4:05:35,PM,75,19
3/28/2019,4:05:36,PM,77,19
3/28/2019,4:05:37,PM,78,19
3/28/2019,4:05:38,PM,76,19
3/28/2019,4:05:39,PM,75,19
3/28/2019,4:05:40,PM,78,19
3/28/2019,4:05:41,PM,77,19
3/28/2019,4:05:42,PM,77,19
3/28/2019,4:05:43,PM,81,19
3/28/2019,4:05:44,PM,79,19
3/28/2019,4:05:45,PM,76,19
3/28/2019,4:05:46,PM,77,19
3/28/2019,4:05:47,PM,77,19
3/28/2019,4:05:48,PM,76,18
3/28/2019,4:05:49,PM,77,18
3/28/2019,4:05:50,PM,78,18
3/28/2019,4:05:51,PM,77,18
3/28/2019,4:05:52,PM,78,18
3/28/2019,4:05:53,PM,80,18
3/28/2019,4:05:54,PM,79,17
3/28/2019,4:05:55,PM,76,17
3/28/2019,4:05:56,PM,74,17
3/28/2019,4:05:57,PM,77,17
3/28/2019,4:05:58,PM,76,17
3/28/2019,4:05:59,PM,74,17
3/28/2019,4:06:00,PM,74,17
3/28/2019,4:06:01,PM,76,17
3/28/2019,4:06:02,PM,74,17
3/28/2019,4:06:03,PM,73,17
3/28/2019,4:06:04,PM,75,16
3/28/2019,4:06:05,PM,75,16
3/28/2019,4:06:06,PM,74,17
3/28/2019,4:06:07,PM,77,17
3/28/2019,4:06:08,PM,78,17
3/28/2019,4:06:09,PM,75,17
3/28/2019,4:06:10,PM,72,17
3/28/2019,4:06:11,PM,72,17
3/28/2019,4:06:12,PM,72,17
3/28/2019,4:06:13,PM,72,17
3/28/2019,4:06:15,PM,76,17
3/28/2019,4:06:17,PM,76,17
3/28/2019,4:06:18,PM,77,17
3/28/2019,4:06:19,PM,79,17
3/28/2019,4:06:20,PM,77,17
3/28/2019,4:06:21,PM,73,17
3/28/2019,4:06:22,PM,71,17
3/28/2019,4:06:23,PM,72,17
3/28/2019,4:06:24,PM,70,17
3/28/2019,4:06:25,PM,69,17
3/28/2019,4:06:26,PM,72,17
3/28/2019,4:06:27,PM,75,17
3/28/2019,4:06:28,PM,77,17
3/28/2019,4:06:29,PM,81,17
3/28/2019,4:06:30,PM,81,17
3/28/2019,4:06:31,PM,78,17
3/28/2019,4:06:32,PM,77,17
3/28/2019,4:06:33,PM,79,17
3/28/2019,4:06:34,PM,76,17
3/28/2019,4:06:35,PM,74,17
3/28/2019,4:06:36,PM,75,17
3/28/2019,4:06:37,PM,75,17
3/28/2019,4:06:38,PM,74,17
3/28/2019,4:06:39,PM,76,17
3/28/2019,4:06:40,PM,76,17
3/28/2019,4:06:41,PM,75,17
3/28/2019,4:06:42,PM,75,17
3/28/2019,4:06:43,PM,79,17
3/28/2019,4:06:44,PM,80,16
